Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"D402","1N4148WS","D_SOD-323",149.700000,-69.400000,90.000000,bottom
"Q701","2SC945","SOT-23",125.500000,-137.100000,180.000000,bottom
"R201","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",141.200000,-78.600000,270.000000,bottom
"R202","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.200000,-78.600000,90.000000,bottom
"R301","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.000000,-75.700000,0.000000,bottom
"R302","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",139.000000,-73.700000,0.000000,bottom
"R303","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",126.900000,-60.000000,0.000000,bottom
"R304","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",126.900000,-62.000000,0.000000,bottom
"R305","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.100000,-62.000000,0.000000,bottom
"R306","33k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.500000,-70.100000,90.000000,bottom
"R307","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.100000,-60.000000,180.000000,bottom
"R308","50","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.000000,-60.000000,0.000000,bottom
"R309","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.700000,-62.000000,0.000000,bottom
"R310","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.700000,-60.000000,180.000000,bottom
"R311","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.700000,-58.000000,0.000000,bottom
"R312","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",126.900000,-58.000000,0.000000,bottom
"R313","5k6","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",135.000000,-64.000000,180.000000,bottom
"R314","4k7","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",145.500000,-66.300000,270.000000,bottom
"R315","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.500000,-66.300000,270.000000,bottom
"R316","47k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",145.500000,-70.100000,270.000000,bottom
"R317","56k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.200000,-58.700000,90.000000,bottom
"R318","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.200000,-58.700000,90.000000,bottom
"R319","12","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.200000,-72.200000,270.000000,bottom
"R320","39k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",114.900000,-57.900000,0.000000,bottom
"R321","5k6","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.200000,-69.300000,0.000000,bottom
"R322","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.200000,-72.200000,90.000000,bottom
"R323","220k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",114.900000,-59.900000,180.000000,bottom
"R324","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.700000,-70.400000,90.000000,bottom
"R325","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.200000,-65.200000,180.000000,bottom
"R326","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.700000,-70.400000,90.000000,bottom
"R327","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.200000,-75.100000,0.000000,bottom
"R328","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",119.200000,-77.100000,180.000000,bottom
"R329","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",129.700000,-66.600000,270.000000,bottom
"R330","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.100000,-76.100000,270.000000,bottom
"R331","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.700000,-73.300000,0.000000,bottom
"R401","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.200000,-87.400000,90.000000,bottom
"R402","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.300000,-86.500000,0.000000,bottom
"R403","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",153.700000,-77.000000,180.000000,bottom
"R404","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.500000,-77.000000,180.000000,bottom
"R405","22k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.300000,-77.000000,180.000000,bottom
"R406","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.300000,-61.800000,90.000000,bottom
"R407","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.200000,-73.300000,270.000000,bottom
"R408","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",155.300000,-61.800000,90.000000,bottom
"R409","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",160.800000,-73.300000,90.000000,bottom
"R410","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",162.800000,-73.300000,270.000000,bottom
"R411","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",153.300000,-61.800000,270.000000,bottom
"R412","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.800000,-70.400000,180.000000,bottom
"R413","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",161.800000,-66.400000,0.000000,bottom
"R414","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",159.000000,-91.200000,90.000000,bottom
"R415","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.000000,-91.200000,270.000000,bottom
"R416","2k2","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",158.000000,-96.100000,0.000000,bottom
"R417","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",158.000000,-94.100000,0.000000,bottom
"R418","180","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.900000,-74.300000,180.000000,bottom
"R419","39k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.100000,-72.300000,180.000000,bottom
"R420","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",157.900000,-72.300000,180.000000,bottom
"R421","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",154.100000,-74.300000,180.000000,bottom
"R501","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.500000,-115.800000,0.000000,bottom
"R502","100k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",142.700000,-115.800000,0.000000,bottom
"R503","1M","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",138.900000,-115.800000,0.000000,bottom
